helpfulness_cat,neg,pos,CONTRADITON,ENTAILMENT,Subjective
1.0,0.072,0.387,0.3010881245136261,0.0281531177461147,0.6374574829931973
1.0,0.081,0.065,0.0315569676458835,0.0093013299629092,0.37688172043010754
1.0,0.045,0.206,0.0008803101954981,0.0041721742600202,0.6018707482993199
1.0,0.116,0.135,0.4414044916629791,0.0129294162616133,0.5888471177944862
1.0,0.058,0.145,0.0831767916679382,0.0302895549684762,0.4097916666666666
0.0,0.048,0.182,0.0395998768508434,0.1093261614441871,0.4417460317460318
0.0,0.134,0.081,0.2970355749130249,0.0860687121748924,0.5346153846153847
1.0,0.091,0.151,0.0,0.0,0.5412888888888887
1.0,0.079,0.177,0.0,0.0,0.5335506715506717
1.0,0.069,0.279,0.0497047193348407,0.0351342447102069,0.6549999999999999
0.0,0.044,0.122,0.0250572171062231,0.0157071910798549,0.4041666666666667
1.0,0.084,0.116,0.0,0.0,0.45627104377104377
1.0,0.064,0.115,0.0168493073433637,0.117585964500904,0.6574074074074074
1.0,0.095,0.118,0.0125809116289019,0.0219054445624351,0.5888888888888889
1.0,0.055,0.133,0.4577810764312744,0.0049512311816215,0.4747252747252747
1.0,0.141,0.199,0.0593068040907382,0.0181804411113262,0.619107142857143
1.0,0.034,0.045,0.3237593472003937,0.1432969570159912,0.549404761904762
1.0,0.11,0.164,0.1793619394302368,0.006951882969588,0.546525974025974
1.0,0.066,0.192,0.0388420857489109,0.0186453461647033,0.5364285714285715
1.0,0.0,0.1,0.0042192954570055,0.0067985141649842,0.7375
1.0,0.041,0.224,0.0192612744867801,0.0138453189283609,0.47179487179487184
1.0,0.054,0.177,0.0,0.0,0.6501803751803752
1.0,0.053,0.157,0.0,0.0,0.4742574257425742
1.0,0.072,0.113,0.1491429656744003,0.0366983152925968,0.579047619047619
1.0,0.098,0.18,0.0181844253093004,0.0333386212587356,0.6102564102564102
1.0,0.102,0.176,0.0,0.0,0.5135852026761119
1.0,0.124,0.131,0.0129013564437627,0.0218170974403619,0.5707142857142857
1.0,0.083,0.12,0.2844919562339782,0.0201426148414611,0.5058333333333334
1.0,0.039,0.142,0.1057810708880424,0.0933943539857864,0.5703125
1.0,0.074,0.128,0.0,0.0,0.43286958613045573
1.0,0.185,0.219,0.0538440532982349,0.0298777129501104,0.6222222222222222
1.0,0.078,0.25,0.2734377682209015,0.1110153570771217,0.7297035480859011
0.0,0.197,0.039,0.0298929084092378,0.0597219951450824,0.5458333333333333
0.0,0.265,0.069,0.0292281340807676,0.0885625928640365,0.5076643990929706
1.0,0.082,0.166,0.0,0.0,0.47607617101999117
1.0,0.081,0.2,0.0,0.0,0.5353683353683354
1.0,0.062,0.169,0.0,0.0,0.5156550467076781
1.0,0.015,0.24,0.018988998606801,0.0772801265120506,0.7317543859649123
0.0,0.205,0.069,0.0051301307976245,0.0079654324799776,0.73
0.0,0.119,0.1,0.3442135155200958,0.0148092210292816,0.5481527093596059
0.0,0.0,0.204,0.0628853291273117,0.0717129111289978,0.5679717813051146
1.0,0.156,0.205,0.0145794134587049,0.0134901469573378,0.5567261904761904
1.0,0.0,0.323,0.0031166146509349,0.0438757017254829,0.650925925925926
1.0,0.15,0.153,0.0491841882467269,0.060451079159975,0.5499999999999999
1.0,0.082,0.157,0.0999093875288963,0.0254703275859355,0.6170588235294118
1.0,0.083,0.163,0.0606209076941013,0.0155564034357666,0.5379385964912281
1.0,0.108,0.136,0.0,0.0,0.5522573510278428
1.0,0.073,0.178,0.0505795627832412,0.0275819320231676,0.5144463340891913
1.0,0.098,0.062,0.8297246098518372,0.0041153938509523,0.3470083487940631
1.0,0.072,0.097,0.0107514318078756,0.0326163619756698,0.3546875
1.0,0.121,0.175,0.0,0.0,0.6655224116161618
1.0,0.092,0.134,0.0906336829066276,0.0754900053143501,0.6202083333333334
1.0,0.067,0.386,0.0196043364703655,0.0255071185529232,0.5865079365079365
0.0,0.0,0.19,0.1108666583895683,0.0936805456876754,0.3563492063492064
0.0,0.0,0.145,0.0331304930150508,0.0454170368611812,0.6902777777777778
0.0,0.0,0.158,0.1124163195490837,0.0052716913633048,0.37583333333333335
1.0,0.011,0.286,0.5031935572624207,0.0121334120631217,0.41428571428571426
1.0,0.067,0.311,0.004433361813426,0.0047517656348645,0.7916666666666667
1.0,0.071,0.09,0.008096070960164,0.0523767061531543,0.46165413533834593
1.0,0.065,0.134,0.0,0.0,0.5336730715678084
1.0,0.017,0.247,0.0082984780892729,0.0455606169998645,0.4378205128205128
1.0,0.041,0.306,0.1376557052135467,0.186849296092987,0.44484126984126987
0.0,0.109,0.124,0.1816338151693344,0.041212610900402,0.4909090909090908
1.0,0.166,0.103,0.0569876991212368,0.0168124213814735,0.4729166666666667
1.0,0.134,0.121,0.7070203423500061,0.0322385355830192,0.5651960784313725
1.0,0.105,0.175,0.0265444591641426,0.0093876989558339,0.47098765432098766
1.0,0.065,0.196,0.0,0.0,0.5282132815637972
0.0,0.083,0.144,0.0139433396980166,0.0027299418579787,0.7857142857142857
1.0,0.066,0.169,0.0126281213015317,0.0484093129634857,0.6777777777777777
1.0,0.063,0.117,0.0134882275015115,0.0176701936870813,0.46898351648351644
1.0,0.051,0.051,0.0,0.0,0.4749999999999998
1.0,0.023,0.253,0.8119824528694153,0.0042761457152664,0.737037037037037
1.0,0.0,0.304,0.0112505154684185,0.8334069848060608,0.7758333333333334
1.0,0.027,0.053,0.0267866384238004,0.0031266540754586,0.28750000000000003
0.0,0.133,0.086,0.0322633646428585,0.0081026926636695,0.6266476190476191
0.0,0.089,0.176,0.0285331290215253,0.0107852015644311,0.6277777777777778
1.0,0.029,0.211,0.027018554508686,0.005349229555577,0.5025793650793651
1.0,0.053,0.178,0.0061986525543034,0.0277606919407844,0.5425308641975308
1.0,0.01,0.146,0.0144776981323957,0.0312708877027034,0.5342592592592593
1.0,0.097,0.087,0.0648580640554428,0.0566617920994758,0.5952380952380951
1.0,0.091,0.139,0.0,0.0,0.5964625731867111
1.0,0.143,0.132,0.009617225266993,0.004720150027424,0.5769444444444444
1.0,0.039,0.162,0.3391311168670654,0.0541156902909278,0.4466450216450216
1.0,0.074,0.089,0.1407723724842071,0.0525144003331661,0.5714285714285714
1.0,0.031,0.153,0.0618089437484741,0.0060868151485919,0.634090909090909
1.0,0.061,0.099,0.0,0.0,0.4599855077872322
1.0,0.113,0.273,0.108877956867218,0.0351517833769321,0.6356878306878306
1.0,0.078,0.127,0.1359412223100662,0.0076860669068992,0.37790404040404035
1.0,0.138,0.074,0.0,0.0,0.5716082659478887
1.0,0.091,0.206,0.0,0.0,0.49324212271973467
1.0,0.055,0.121,0.6376486420631409,0.0179944727569818,0.5679487179487179
1.0,0.052,0.145,0.0362427681684494,0.0509289093315601,0.6697802197802196
1.0,0.078,0.168,0.0,0.0,0.5804060665362031
1.0,0.125,0.069,0.022979449480772,0.0134487058967351,0.4198412698412699
1.0,0.092,0.315,0.0741088837385177,0.096200406551361,0.5294444444444445
1.0,0.135,0.214,0.0,0.0,0.6257611241217798
1.0,0.037,0.097,0.3430361747741699,0.0375646576285362,0.5578671328671329
1.0,0.035,0.198,0.6936331391334534,0.0067945979535579,0.4525
1.0,0.079,0.171,0.2002337872982025,0.0171154253184795,0.5100000000000001
1.0,0.042,0.435,0.0097961276769638,0.0509945750236511,0.7654166666666666
1.0,0.122,0.072,0.0978885814547538,0.0750427171587944,0.4322916666666667
1.0,0.065,0.072,0.0,0.0,0.48368078781122253
0.0,0.081,0.158,0.0303235705941915,0.0096890889108181,0.6129629629629629
1.0,0.076,0.204,0.0114783635362982,0.0068805748596787,0.6523529411764705
1.0,0.071,0.199,0.2455630004405975,0.0165596008300781,0.6202380952380953
0.0,0.073,0.079,0.6856843829154968,0.0545200146734714,0.44948002189381503
1.0,0.087,0.199,0.0794013068079948,0.0269108712673187,0.7053221288515407
1.0,0.078,0.117,0.0172818079590797,0.0034620156511664,0.48375350140056017
1.0,0.021,0.133,0.0341853946447372,0.0311311390250921,0.4527777777777778
1.0,0.097,0.104,0.0962687730789184,0.2868096828460693,0.5728571428571428
1.0,0.032,0.197,0.5930799841880798,0.0094112893566489,0.571875
1.0,0.133,0.177,0.0,0.0,0.5086673643816501
1.0,0.049,0.204,0.0351158045232296,0.2458387017250061,0.6977272727272726
1.0,0.124,0.107,0.0115307392552495,0.0233353227376937,0.6016666666666667
1.0,0.109,0.194,0.0175534449517726,0.02398875169456,0.5081111111111112
1.0,0.065,0.146,0.004506564233452,0.0335882157087326,0.4470588235294117
0.0,0.128,0.086,0.0129799414426088,0.0204777065664529,0.42537878787878786
1.0,0.06,0.278,0.0098445788025856,0.1459899693727493,0.5683095238095237
1.0,0.09,0.208,0.175810620188713,0.1485012918710708,0.535128205128205
1.0,0.092,0.155,0.4442094266414642,0.0477320849895477,0.5365079365079366
1.0,0.082,0.132,0.0249310545623302,0.0548212975263595,0.5321428571428571
1.0,0.019,0.168,0.0382555648684501,0.0673623904585838,0.5850000000000001
1.0,0.092,0.218,0.0,0.0,0.6322546161321669
1.0,0.032,0.227,0.1927525252103805,0.0491769947111606,0.4407407407407407
1.0,0.0,0.155,0.3304544985294342,0.0594159848988056,0.5904761904761907
1.0,0.073,0.175,0.0,0.0,0.4647368628693929
1.0,0.088,0.14,0.2373795062303543,0.0109108891338109,0.7094047619047621
1.0,0.014,0.311,0.0645079538226127,0.0774469077587127,0.6649999999999999
1.0,0.058,0.127,0.0622667223215103,0.0241823475807905,0.5695526695526696
1.0,0.091,0.142,0.7706103920936584,0.0079450290650129,0.5121711621711622
1.0,0.053,0.189,0.354449063539505,0.0301104597747325,0.6455882352941176
1.0,0.051,0.174,0.0,0.0,0.5844444444444444
1.0,0.099,0.13,0.0576242618262767,0.0311346370726823,0.6263888888888888
1.0,0.0,0.238,0.0220683794468641,0.0370445847511291,0.4200000000000001
1.0,0.14,0.119,0.0,0.0,0.5222710622710623
0.0,0.137,0.053,0.1557315289974212,0.2227825820446014,0.5134920634920634
0.0,0.157,0.095,0.0155380656942725,0.0359696149826049,0.6410256410256411
0.0,0.148,0.077,0.7248997092247009,0.0122096678242087,0.4296358543417367
0.0,0.156,0.187,0.3344963788986206,0.0444858223199844,0.5329166666666667
1.0,0.084,0.296,0.014384870417416,0.1506248712539672,0.6828643578643578
1.0,0.091,0.086,0.0102019552141428,0.0269633289426565,0.5300037411148522
1.0,0.027,0.169,0.030456144362688,0.0154182976111769,0.6663951545530493
1.0,0.031,0.282,0.0181530211120843,0.0715823769569397,0.4534313725490196
1.0,0.022,0.276,0.065690129995346,0.0066048721782863,0.4404347826086956
1.0,0.143,0.105,0.0,0.0,0.555238095238095
1.0,0.098,0.104,0.1059497222304344,0.0364001877605915,0.6107142857142858
1.0,0.008,0.111,0.7612860798835754,0.0124040776863694,0.5638111888111889
1.0,0.075,0.128,0.0298413690179586,0.0656814947724342,0.6170634920634921
1.0,0.057,0.279,0.0300267674028873,0.0259873028844594,0.5808333333333333
1.0,0.085,0.195,0.026192283257842,0.0450139939785003,0.6577922077922078
1.0,0.014,0.246,0.0016794495750218,0.3426972925662994,0.5182857142857142
1.0,0.055,0.193,0.0067661763168871,0.0519654378294944,0.5725490196078432
1.0,0.093,0.175,0.0,0.0,0.6085034013605444
1.0,0.143,0.177,0.0514293350279331,0.0126484222710132,0.6688311688311689
0.0,0.155,0.036,0.0117652676999568,0.0312315393239259,0.5556818181818182
0.0,0.206,0.128,0.0,0.0,0.5725979633196127
0.0,0.069,0.068,0.516366720199585,0.0301781445741653,0.4757054673721341
0.0,0.094,0.184,0.0099555887281894,0.0192636288702487,0.5580952380952381
0.0,0.18,0.173,0.1520839184522628,0.0295665170997381,0.5571428571428572
0.0,0.072,0.082,0.0119476318359375,0.0676197111606597,0.5278846153846154
0.0,0.086,0.059,0.0059772888198494,0.0123777156695723,0.3055555555555556
0.0,0.099,0.079,0.0017095915973186,0.0014560819836333,0.6000000000000001
0.0,0.384,0.086,0.0588697530329227,0.3868119120597839,1.0
0.0,0.04,0.175,0.5776913166046143,0.0159261208027601,0.40458333333333324
0.0,0.204,0.0,0.0090816458687186,0.001463271677494,0.7037037037037037
1.0,0.09,0.158,0.0183010064065456,0.013289357535541,0.5508680555555556
1.0,0.207,0.141,0.013327645137906,0.0190454591065645,0.6820512820512821
1.0,0.076,0.248,0.1826337426900863,0.062175452709198,0.46113945578231297
1.0,0.125,0.133,0.0234489254653453,0.0599086433649063,0.5859375
1.0,0.137,0.153,0.01260357350111,0.0258180201053619,0.5861111111111111
1.0,0.104,0.179,0.0,0.0,0.4728344671201815
