0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.20068413,0.92604214,-1.9741817,-0.95007455,-0.8120269,-0.9556188,0.58201426,0.77768874,-0.9061056,-0.5348664,-0.42212555,-1.1336169,-0.3604889,-0.12246585,0.5044421,-0.5941154,0.6910824,-0.3136061,1.0510441,-0.071303524,-1.2879821,-1.1463187,-0.3080093,0.78642356,-0.38845822,-0.16803733,-2.0612695,-0.28257954,-1.8319323,-0.101920195,0.8695107,0.51845765,-0.14898157,1.2556641,-0.73275054,1.5887877,1.6470013,-0.36734208,-1.0169939,0.44155538,0.30449194,-0.29082653,0.5767509,-0.86855674,2.8988762,0.018564228,0.47098538,-0.083713554,-0.482845,0.23252976,0.046560995,-1.4241166,1.7171376,-0.3499527,0.8558589,0.18988179,0.66550463,-1.1962156,-1.3854791,-0.3766349,-0.013260963,-2.2419162,1.2650536,0.47398964,1.3064598,-0.040474955,-0.38048843,-0.7112679,-1.7669582,0.77662385,0.39778748,-0.40817687,-0.4455125,-0.031652927,-0.18314338,0.23260364,0.58456564,-1.025113,0.7086286,-0.33523068,1.1422946,-0.18499468,0.15932381,0.33539578,1.2790833,-0.047871593,-0.40817204,0.21107721,1.2717062,0.45932013,-0.050861012,1.4647111,-1.692187,-0.00468953,0.5309962,-0.29976258,0.2416492,-1.1659788,1.5895672,-0.09177081
-0.5719981,1.5572258,-2.2044694,0.5409036,-0.68028426,-1.6702826,0.045299847,1.1232696,-0.055146553,0.38707575,1.1614815,-1.063468,-0.2274722,0.5041639,0.10108351,-0.79190105,-0.36668986,0.6630259,-0.8114802,-1.8571275,0.4158629,0.88772637,-0.37717807,-0.09479276,1.2149677,-0.77467865,0.400839,1.511674,0.2529337,0.26234457,0.20233077,0.5312503,0.6942936,0.024710374,-0.78701025,-0.29473525,0.22641999,-1.3364695,-1.4989644,-0.84807605,0.6771392,-0.4707759,0.48226213,-0.49213582,0.39504528,-0.09262959,0.37506872,0.31510407,-0.044332016,0.8812027,-0.56891054,0.1645083,1.1882515,0.59922266,0.3092576,0.22725745,0.21755749,-0.42765313,-0.48416644,-0.047193144,1.9517765,-0.043732625,-0.76015615,0.7591079,0.9394092,0.6235553,0.006005347,-0.9063034,-1.2680079,0.97120076,0.46611017,0.9219648,0.8627128,0.47297835,0.67372704,0.047562342,1.1015934,2.0371828,-1.2788851,1.2630676,0.31248957,0.09808658,1.2539417,1.2470827,0.25563124,-1.1114202,0.45461395,1.2366651,-0.84877324,-0.2582808,-0.68755364,0.0343258,0.34290543,0.010650947,0.8368744,0.24855073,-1.3545747,-1.74514,-0.06397573,0.09218958
-1.614656,-0.91111374,-3.6108527,-2.71994,0.6362029,0.34080857,1.1505468,1.0247306,-0.23031415,-3.6230652,-0.81526494,-0.101774596,-1.1342815,0.3225808,0.7985013,-0.3982603,-0.9587225,0.40139833,0.529084,-1.4856282,1.4234469,1.2911166,-2.1676352,1.0664907,-1.0289377,-0.6164555,1.4250382,-0.43010253,-0.8234888,-0.53220797,-1.0319687,0.5218316,-0.15485048,-0.26776314,-1.328234,0.27892914,-0.17661038,-2.2517636,1.0596302,-1.3032334,-0.1497593,-0.13601752,0.9509165,-0.7504609,1.4884441,0.80768275,1.6946224,-0.13510916,-1.4996263,2.2631166,-1.5658362,-0.523742,0.065667264,-1.9371135,1.7217884,1.5304364,1.6420654,-2.5667121,-0.16611402,0.13077836,1.2571771,-0.94126415,1.1232432,1.6577753,1.8483646,-0.9108156,-1.4035132,2.0405698,-0.29544538,1.6668489,1.7020015,-2.0611658,2.2373466,-1.2643763,3.7062964,-0.5118283,0.2550066,-0.8433078,-0.68554527,0.47775966,-0.23762774,1.1918863,-0.23241992,0.9976688,-0.97640204,-0.12551665,-0.871234,-0.18714947,-1.0175433,1.135418,-0.6603784,0.9202637,0.56698,-3.0701864,0.41067788,-0.21047698,0.8645363,-0.36082882,1.3052876,-0.45045283
-1.2793746,0.5232174,-0.89464223,-0.98578554,-0.6411364,-0.28447297,-0.39739028,0.17412625,-0.4382592,-0.73454815,-0.14135583,-0.1433051,-0.79119176,-0.5409703,0.2972719,0.10488125,0.46524876,-0.4435356,0.7219623,0.19725157,1.0181832,-0.5073861,-0.80917287,1.3425848,-0.5481516,1.203461,-0.994089,-0.44266152,-0.395676,-0.04230348,-0.08394221,0.20302248,0.7747387,-0.36297417,1.356166,0.45948562,0.982009,-0.05125661,-0.7538447,-1.037205,-0.48302263,-0.95203483,0.7457301,-0.7557117,1.9992806,-0.08915887,-0.48576486,1.5296618,0.44529244,1.0133725,0.5792187,-0.8939515,1.458355,-0.42377207,0.24057455,0.16686897,-0.34708628,-1.2590394,-0.10952093,0.52320665,1.0589166,-0.84838575,0.6136841,0.06846246,0.21351904,1.3971127,-0.7540859,-0.65052426,-0.91747695,0.76528704,-0.1178801,-0.24436513,-0.67759717,-0.32723087,0.6100608,0.2764451,0.33483946,-0.03847732,0.17960012,0.54220206,-0.5964446,1.026328,1.4132048,0.13063568,-0.6612174,0.49458387,-0.6096162,0.09744288,0.02375767,0.22821975,0.11170586,0.76058865,-0.5850492,-0.016579343,1.2146096,-0.1634085,0.88483745,-1.4812433,0.60080063,0.28542566
-0.93383235,-0.02978597,0.10650728,0.81880623,-0.6250683,-0.18559279,0.11584339,3.4891942,-2.1511562,-1.0819446,-1.4451154,-0.99054146,-0.39846596,-0.77212733,-2.0460327,1.1255507,-1.3004827,-1.6419684,-1.429515,-1.9553031,0.14768572,0.29938805,-0.7159305,-5.984857e-05,-0.8359178,0.48488393,-2.569827,0.9687989,0.06518443,0.2313692,-0.9486321,0.7725519,-1.4174787,-1.467367,-0.35444674,-0.24443844,0.23152599,-3.6447828,0.43309176,-0.7211246,0.12027273,-0.7058935,-1.2579477,-0.24464652,-0.23115009,-0.99794745,0.35386345,0.058368027,-0.35424358,1.6847914,-0.17531133,-0.6550777,0.5574803,0.36179864,0.51796734,0.9182976,-2.1764812,-2.379923,0.6417437,-0.09935354,0.42716178,-0.79142326,-1.8748271,-0.9861257,1.6642554,-1.1786873,-0.7503791,1.5449452,-1.0040438,0.3741585,-1.8728455,0.9428008,-0.24568197,2.0042934,2.5178306,1.3098639,0.59566057,1.0658255,-2.5138826,1.0924206,-2.803287,0.5776151,0.36528707,-1.7252374,-0.7113356,-0.068037614,-0.07921583,0.09813716,1.1994938,-0.0139488485,1.388565,-0.69104016,1.9330858,-0.48119774,0.32931367,-0.75846136,-0.4275508,-2.5048885,1.1699772,-1.9724678
0.880368,-1.1357261,-0.1450836,-0.8037907,0.9248487,-0.27892163,-1.0619355,1.6480294,-1.5304701,-1.2508976,1.6440552,-2.244099,0.3428744,0.32325488,1.0565859,1.2754295,0.160339,0.7184238,-0.32398623,-1.7198479,0.697223,-0.2788404,-0.029329741,2.2734616,-0.12244097,-2.6106913,-0.41936037,0.116658635,-0.7057045,0.72593296,-0.17409694,1.0119334,-0.7532905,0.2391519,2.6085064,0.39256102,0.3177063,-1.360036,0.19936694,-0.19077905,1.132504,-2.0638683,1.2877408,0.22155364,0.7458503,-0.25993037,3.121903,2.2243898,0.97421783,0.26034492,0.07767114,1.0991317,-0.09153289,0.54321134,1.14102,0.7280968,1.230235,-1.3492259,-0.53895193,1.1316164,0.5850432,-0.11766698,0.26261833,-1.0347215,1.1081706,1.2993152,0.56447333,-0.61390114,-1.07624,-1.2259941,-0.40986916,-0.6670842,-0.8978122,-0.61914045,1.4946079,2.2814455,-0.23988862,0.012793456,-0.22171454,0.63720536,-0.3122718,-1.1271605,-1.9967207,-0.28106073,0.031483565,-0.043153007,-0.07153172,0.4551587,1.0404451,-0.45825648,0.98346126,1.2807435,-0.19117334,-0.56604654,1.9878328,-0.5975064,-1.7686737,-0.27500433,0.75442845,0.33303687
-0.6649054,-0.9783714,-0.5173738,-1.0430079,-0.10644595,-0.9713965,-1.5364583,0.40254873,-1.3101844,-2.8859642,2.2419138,-2.0822165,1.1269424,-0.049627557,-1.1844229,1.5603914,-0.5515258,-2.2673337,1.4241519,-1.16275,-0.18743932,-1.688992,0.8019463,1.716768,0.6689334,-0.63867444,-2.8654351,0.5419007,0.69083774,2.103325,-0.30335894,1.1420913,-1.9863609,-1.8027599,-0.16991232,1.1396073,0.8802165,-2.7488256,2.060254,-1.0223155,0.13536838,0.3032641,-0.42506537,-0.019568294,2.1851144,-1.1137527,1.6455718,-2.6084108,1.1310521,-0.46324334,-0.83785397,-1.4289222,-1.7095603,2.3201675,1.038109,-1.2197353,0.9207612,-1.1479363,0.055064384,0.6287042,0.1988139,0.22650793,-2.4951074,-1.3406904,1.9204609,1.9336591,0.33905196,-1.5890636,0.4333803,-0.24554083,-1.383919,0.41518125,1.2596308,2.462081,0.8969746,1.7281238,-1.4772047,0.6104466,1.0107386,0.05613949,-0.16690087,0.7019615,-1.2843181,0.7000822,-0.7898491,-0.840739,-1.9942605,1.5037148,-0.36855197,0.70636314,-1.9927102,0.30665934,1.2788676,-2.948929,1.3803303,2.732458,0.64949113,-1.1834482,2.6855617,1.121754
-0.0015906501,0.20440261,-0.5432463,-0.5913253,-1.6520073,-0.260914,1.7929685,-0.026671506,-1.9306718,2.1817238,-0.44199648,-0.08426157,-0.8443356,-1.0882572,1.1794777,-0.75038016,-1.3904551,-1.4270627,-0.80492705,0.40651357,0.29392946,-1.9034816,1.7445905,2.329277,-1.2193255,-0.8687905,-1.470716,-2.6252382,-0.73628646,-0.7229357,-1.0844055,3.9499865,-2.016177,2.0468864,0.45415127,0.24780366,1.3487558,-2.5537186,-0.1635832,0.57312936,1.1136304,-0.2880977,-0.53513944,0.9665435,-0.68595004,-0.29041308,0.9681535,0.45374846,-1.3053125,-1.5448968,-1.6979531,-0.8351618,-0.21732084,-1.5574349,-0.8564424,0.43634352,0.36983016,0.18117179,-0.21197951,-0.84530926,1.3185157,-1.4059154,-0.8410586,-1.1478635,0.19361588,0.2860677,1.50233,-3.341367,-1.2797445,0.45725596,-1.3398799,1.0929825,-0.037435595,-0.38951877,1.0654624,-0.42419645,1.2488179,-1.4020771,0.71954167,0.8223052,1.3413955,0.37100106,-1.0624403,1.8397429,0.17504492,-1.5811291,0.13956025,0.40729102,1.521615,0.31426772,1.4960533,2.9133923,1.8950732,-1.3716496,0.9581099,-3.4675355,0.009767276,-1.3182881,-0.34247008,1.0225568
-0.16229686,0.8333679,-1.4943575,0.7452014,-0.8401999,0.21418747,0.26195514,1.4915484,-0.58098435,-0.3354721,-0.32864615,-1.1083091,0.82456434,-1.283453,-0.17143273,-0.8831933,-0.2082211,-0.0503561,-1.7450724,-0.7932627,1.872012,-0.75204635,-0.2420584,0.18634254,-0.49350744,-0.055911884,0.23513031,-0.1399437,0.33992437,0.78514665,0.6830544,0.36946937,-1.1019286,-0.40151837,0.2952551,0.04861625,1.3900567,-0.45123634,0.70165956,-0.60752726,1.1699939,-0.6184934,-0.20847315,-0.30259374,1.2591685,-1.1463102,1.5110712,-0.023378858,-0.65011215,0.6873803,-0.2173934,0.59782106,-0.008468562,-0.54456264,0.15138836,0.37460095,-0.2238188,0.0073525547,1.5468633,-0.39766935,0.5981187,1.6441729,0.2039394,-1.2606931,1.1788496,0.014047225,1.0379227,-2.3210082,0.102161415,0.5849314,-1.0439963,0.42273888,-0.25441816,1.7270259,0.81346816,1.1422763,1.7583904,1.2234249,0.59848195,0.59831,0.8049698,1.1376948,0.43098035,-0.32311,-0.5723093,-0.33780876,-0.74733645,1.0155905,0.40112108,0.76239717,0.33879986,-0.2510755,-0.1205771,-0.40775844,0.4589058,-0.63717407,0.70046914,-2.379418,0.967358,0.9068182
0.40566826,0.0047412836,-1.0897791,0.9176198,1.1620735,-0.9589293,2.2289643,2.3677855,0.3106236,-0.3084924,-0.9783589,-0.52512395,0.16261579,-0.2155352,1.6420487,0.8275613,0.16078416,0.49321595,-1.6393279,-2.8028996,-0.2243465,1.5226934,-1.7992201,-0.49999064,0.36148623,1.0175693,-1.0557456,-3.1572573,-1.674215,-0.854639,-0.9788233,2.036698,-1.6223413,1.2559541,-2.2811213,2.2568176,-0.4953782,-0.25664532,-0.692253,-1.0161271,-0.97879505,-0.933162,0.6071521,-1.0077059,1.7050935,0.18972297,0.9701727,-0.4795625,0.73614013,1.7125801,0.56151503,-0.94133276,-0.2030266,-1.1026454,0.809907,0.5107851,-1.9446312,-0.41716358,-1.1736422,2.3817644,-1.3018272,-0.09891707,-0.30293334,-0.91018325,-1.3728198,1.0681655,-0.93896806,1.0970356,-1.0389359,0.9988649,-0.8362348,1.3583492,0.911842,0.6622814,1.2149788,-1.7784746,0.48075697,-0.36252895,-1.2098343,-0.69489676,2.6599996,0.2878647,0.03992027,1.2248635,0.8987842,1.5429482,0.0024688058,1.5921664,-0.26611367,-0.21301143,1.6890059,1.0614944,-0.33481517,0.14798366,1.0498469,0.9919885,-0.5738769,-0.45134655,-0.04977445,0.90493494
